Freq.	I(R6)/I(R3)
1.56314764264094e+000	(1.07443815798253e+001dB,8.73139914367350e+001°)
1.56675107010813e+000	(1.07643375643863e+001dB,8.73078086444789e+001°)
1.57036280433354e+000	(1.07842933462403e+001dB,8.73016116623601e+001°)
1.57398286446620e+000	(1.08042489244410e+001dB,8.72954004581027e+001°)
1.57761126969933e+000	(1.08242042980541e+001dB,8.72891749993592e+001°)
1.58124803927037e+000	(1.08441594661315e+001dB,8.72829352537107e+001°)
1.58489319246110e+000	(1.08641144277663e+001dB,8.72766811886666e+001°)
1.58854674859776e+000	(1.08840691819661e+001dB,8.72704127716644e+001°)
1.59220872705115e+000	(1.09040237278072e+001dB,8.72641299700696e+001°)
1.59587914723672e+000	(1.09239780643047e+001dB,8.72578327511759e+001°)
1.59955802861465e+000	(1.09439321905255e+001dB,8.72515210822041e+001°)
1.60324539069002e+000	(1.09638861054925e+001dB,8.72451949303032e+001°)
1.60694125301286e+000	(1.09838398082134e+001dB,8.72388542625492e+001°)
1.61064563517825e+000	(1.10037932977601e+001dB,8.72324990459457e+001°)
1.61435855682647e+000	(1.10237465731010e+001dB,8.72261292474234e+001°)
1.61808003764305e+000	(1.10436996332929e+001dB,8.72197448338397e+001°)
1.62181009735891e+000	(1.10636524773269e+001dB,8.72133457719792e+001°)
1.62554875575047e+000	(1.10836051042190e+001dB,8.72069320285534e+001°)
1.62929603263970e+000	(1.11035575129605e+001dB,8.72005035701996e+001°)
1.63305194789432e+000	(1.11235097025394e+001dB,8.71940603634821e+001°)
1.63681652142779e+000	(1.11434616719969e+001dB,8.71876023748915e+001°)
1.64058977319952e+000	(1.11634134202812e+001dB,8.71811295708442e+001°)
1.64437172321491e+000	(1.11833649463583e+001dB,8.71746419176830e+001°)
1.64816239152549e+000	(1.12033162492718e+001dB,8.71681393816760e+001°)
1.65196179822900e+000	(1.12232673279449e+001dB,8.71616219290174e+001°)
1.65576996346951e+000	(1.12432181813697e+001dB,8.71550895258268e+001°)
1.65958690743754e+000	(1.12631688085050e+001dB,8.71485421381490e+001°)
1.66341265037015e+000	(1.12831192082868e+001dB,8.71419797319545e+001°)
1.66724721255104e+000	(1.13030693797240e+001dB,8.71354022731385e+001°)
1.67109061431069e+000	(1.13230193217111e+001dB,8.71288097275212e+001°)
1.67494287602642e+000	(1.13429690332430e+001dB,8.71222020608476e+001°)
1.67880401812254e+000	(1.13629185132246e+001dB,8.71155792387875e+001°)
1.68267406107045e+000	(1.13828677606218e+001dB,8.71089412269350e+001°)
1.68655302538872e+000	(1.14028167743468e+001dB,8.71022879908088e+001°)
1.69044093164324e+000	(1.14227655533390e+001dB,8.70956194958514e+001°)
1.69433780044731e+000	(1.14427140964942e+001dB,8.70889357074295e+001°)
1.69824365246172e+000	(1.14626624027751e+001dB,8.70822365908342e+001°)
1.70215850839493e+000	(1.14826104710611e+001dB,8.70755221112795e+001°)
1.70608238900310e+000	(1.15025583002544e+001dB,8.70687922339036e+001°)
1.71001531509027e+000	(1.15225058892825e+001dB,8.70620469237679e+001°)
1.71395730750840e+000	(1.15424532370115e+001dB,8.70552861458572e+001°)
1.71790838715757e+000	(1.15624003423865e+001dB,8.70485098650795e+001°)
1.72186857498599e+000	(1.15823472042203e+001dB,8.70417180462655e+001°)
1.72583789199018e+000	(1.16022938214477e+001dB,8.70349106541690e+001°)
1.72981635921508e+000	(1.16222401929422e+001dB,8.70280876534665e+001°)
1.73380399775412e+000	(1.16421863175572e+001dB,8.70212490087570e+001°)
1.73780082874935e+000	(1.16621321941793e+001dB,8.70143946845618e+001°)
1.74180687339159e+000	(1.16820778216385e+001dB,8.70075246453247e+001°)
1.74582215292048e+000	(1.17020231988261e+001dB,8.70006388554112e+001°)
1.74984668862464e+000	(1.17219683245738e+001dB,8.69937372791091e+001°)
1.75388050184174e+000	(1.17419131977309e+001dB,8.69868198806277e+001°)
1.75792361395867e+000	(1.17618578171370e+001dB,8.69798866240981e+001°)
